country,participants,continue,reverse,x1_posDec,y1_posDec,x2_posDec,y2_posDec,x1_negDec,y1_negDec,x2_negDec,y2_negDec,x1_posGrow,y1_posGrow,x2_posGrow,y2_posGrow,x1_negGrow,y1_negGrow,x2_negGrow,y2_negGrow,num_posDec,num_negDec,num_posGrow,num_negGrow,cont_on_pos_dec,cont_on_neg_dec,cont_on_pos_grow,cont_on_neg_grow,rev_on_pos_dec,rev_on_neg_dec,rev_on_pos_grow,rev_on_neg_grow
United States,217,852,860,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,427,428,429,428,300,69,268,215,127,359,161,213
Singapore,4,16,16,99.99,99.99,99.99,99.99,99.99,92.74,99.99,88.6,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,8,8,8,8,5,3,4,4,3,5,4,4
Macedonia,9,24,48,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,18,18,18,18,8,5,4,7,10,13,14,11
Wallis And Futuna,9,45,27,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,18,18,18,18,12,1,16,16,6,17,2,2
United Kingdom,64,241,263,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,125,125,128,126,77,19,83,62,48,106,45,64
China,5,23,17,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,10,10,10,10,8,3,6,6,2,7,4,4
India,5,18,22,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,10,10,10,10,6,2,5,5,4,8,5,5
Romania,52,180,236,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,104,104,104,104,52,33,42,53,52,71,62,51
Turkey,4,16,16,99.99,99.99,99.99,99.99,99.99,79.8,99.99,78.86,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,8,7,9,8,6,0,5,5,2,7,4,3
Greece,7,32,24,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,14,14,14,14,14,1,9,8,0,13,5,6
Bahrain,2,8,8,67.26,82.53,75.2,74.53,66.34,46.93,74.2,44,69.47,55.06,77.8,59.86,67.2,72.4,75.2,74.34,4,4,4,4,3,0,2,3,1,4,2,1
Denmark,3,9,15,75.46,99.99,97.67,99.99,87.07,68.6,99.99,60.61,86.67,69.27,99.99,88.47,89.07,90.79,99.99,89.8,6,6,6,6,2,1,4,2,4,5,2,4
Germany,5,23,17,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,10,10,10,10,7,2,8,6,3,8,2,4
Poland,5,20,20,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,10,10,10,10,6,3,3,8,4,7,7,2
Australia,16,61,67,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,32,31,33,32,23,4,22,12,9,27,11,20
Malaysia,1,4,4,32.07,37.6,39.93,26.73,32,24.53,40,23.4,32,24.87,40.07,35,32,34.13,40.53,36.2,2,2,2,2,2,0,0,2,0,2,2,0
Netherlands,4,12,20,99.99,99.99,99.99,99.99,99.99,89.73,99.99,87.53,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,8,8,8,8,5,1,3,3,3,7,5,5
Cyprus,2,6,10,62.27,96.34,76.67,94.46,63.67,40.14,82.86,34.4,63.74,42.13,78.2,46.2,63.67,70.4,75.53,77.33,4,4,4,4,0,3,0,3,4,1,4,1
Canada,31,131,117,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,62,62,62,62,40,13,40,38,22,49,22,24
Lithuania,10,26,54,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,20,20,20,20,10,4,7,5,10,16,13,15
Norway,4,14,18,99.99,99.99,99.99,99.99,99.99,90.8,99.99,88,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,8,8,8,8,7,0,4,3,1,8,4,5
Albania,2,9,7,51.94,83.53,73.6,72.8,50.66,66.73,79.46,50.34,48.6,64.07,72.47,65.13,52.34,74.73,77.73,68.06,4,4,4,4,3,2,2,2,1,2,2,2
Latvia,1,2,6,32.27,41.87,40.07,32.67,32.13,22.67,40.07,21.4,32.13,27.6,40.07,36.07,31.27,33.07,40.07,33.93,2,2,2,2,1,0,1,0,1,2,1,2
Anguilla,3,14,10,99.99,87,99.99,80.54,94.2,99.99,99.99,99.99,95.53,99.99,99.99,99.99,99.99,93.8,99.99,99.99,6,6,6,6,6,1,4,3,0,5,2,3
Russian Federation,3,7,17,94.94,99.99,99.99,99.99,94.6,68.87,99.99,66.27,93.53,74.66,99.99,88.2,95.06,99.99,99.99,99.99,6,6,6,6,2,1,2,2,4,5,4,4
South Africa,3,12,12,95.74,99.99,99.99,99.99,96.19,65.79,99.99,61.86,96.4,79.2,99.99,98.47,95.2,99.99,99.99,99.99,6,6,6,6,4,1,3,4,2,5,3,2
United Arab Emirates,2,6,10,63.8,90.26,79.93,85.6,64.2,45.2,79.8,47.93,63.13,55,80,79.87,64,69.2,79.87,73.27,4,4,4,4,1,0,3,2,3,4,1,2
Ireland,2,10,6,64.14,72.53,80.2,34.2,64.4,43.87,80.4,40.6,64.4,63.53,80.34,99.99,64,66.94,80.33,69.07,4,4,4,4,4,1,3,2,0,3,1,2
Republic of Moldova,4,13,19,99.99,99.99,99.99,99.99,91.67,85.6,99.99,80.54,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,8,7,9,8,2,3,3,5,6,4,6,3
Cambodia,2,8,8,61,82.06,79.67,71.86,63.93,45.34,81.13,42.6,63.26,66.27,77.94,91,64,67.33,80.27,69,4,4,4,4,3,0,4,1,1,4,0,3
Malawi,1,4,4,32.07,32.13,39.87,1.07,31.87,23.13,40,22.87,32,36,40.13,67.73,32.13,33,40.07,33,2,2,2,2,2,0,2,0,0,2,0,2
