"id","participant_id","trial_num","graph_type","graph_fctr","x1","y1","x2","y2","time1","time2","confidence","num_redos","reflection"
"1","1","1","1","traffic accident health rate per 10,000 accidents","15.93","11.00","20.07","10.07","33700","39119","7","0","none"
"2","1","2","3","population of males over 80","16.00","17.13","20.00","19.07","57641","59732","6","0","none"
"3","1","3","0","amount of books published","15.87","21.20","20.93","19.87","36684","39769","5","0","none"
"4","1","4","2","percentage of workers who will have adequate health service","15.93","12.87","19.87","15.93","23712","26725","6","0","I made this prediction based off of improvements in the health industry."
"5","1","5","1","students who eat breakfast","16.07","11.00","19.80","10.20","20417","22233","6","1","none"
"6","1","6","3","cancer death rates","16.07","17.27","20.00","16.93","28099","33507","6","0","none"
"7","1","7","0","global burglary rates","15.80","21.87","19.87","20.00","14048","16169","5","0","none"
"8","1","8","2","amounts spent on advertising directly to children","15.93","10.07","18.93","11.27","27609","29449","6","0","I arrived at this prediction because I assumed advertising companies are still increasing the amount that they spend advertising to children, but I predicted a slower rate because of the current economical state."
"9","2","1","0","global burglary rates","16.07","19.07","20.00","15.07","40436","46404","6","0","none"
"10","2","2","3","population of males over 80","15.93","17.00","20.00","17.53","32132","35676","5","0","none"
"11","2","3","1","students who eat breakfast","16.00","11.40","19.93","11.07","15334","19535","6","0","none"
"12","2","4","2","amounts spent on advertising directly to children","16.07","14.07","19.93","20.00","16842","21878","6","0","increased spending for increased sales"
"13","2","5","0","global economy growth rates","15.93","20.00","20.20","15.07","16474","20420","6","0","none"
"14","2","6","3","cancer death rates","15.87","18.00","19.93","18.80","16764","20278","6","0","none"
"15","2","7","1","traffic accident health rate per 10,000 accidents","16.00","11.07","19.93","10.47","17555","22707","6","0","none"
"16","2","8","2","death rate for the world population","16.13","13.13","19.93","17.00","17809","22153","6","0","baby boomers will start to die, which will increase the rate"
"17","3","1","0","amount of books published","16.00","19.07","19.93","12.13","24510","29070","3","0","none"
"18","3","2","3","population of males over 80","15.07","16.87","19.00","17.07","10982","14038","6","0","none"
"19","3","3","1","striped dolphin populations","15.87","10.87","20.00","10.00","12709","16645","6","1","none"
"20","3","4","2","percentage of workers who will have adequate health service","16.00","11.07","19.93","13.13","8241","13472","6","1","There seems to be an increasing trend, so assuming if the effort to promote health service is similar, there would be an increasing number of workers with adequate health service, and hence the increase in numbers. "
"21","3","5","0","global economy growth rates","15.93","25.20","19.93","24.13","12378","15378","1","0","none"
"22","3","6","3","cancer death rates","16.00","17.07","20.07","18.07","8621","11453","6","0","none"
"23","3","7","1","yields of sunflower seed (kg/hectare)","15.93","10.80","20.00","10.00","9440","12033","6","1","none"
"24","3","8","2","amounts spent on advertising directly to children","16.00","10.00","19.87","10.87","19694","22790","3","0","There is a spike from 2009 to 2011, but i am not sure what is the reason behind it. As a result, I believe the sum spent on advertising directly to children will increase, but to a smaller extent. "
"25","4","1","3","population of males over 80","15.93","17.07","20.00","17.53","25519","0","4","1","none"
"26","4","2","2","death rate for the world population","16.00","11.00","20.00","13.07","82048","86283","3","0","none"
"27","4","3","1","striped dolphin populations","15.87","11.00","20.13","10.60","17969","22071","4","1","none"
"28","4","4","0","global economy growth rates","16.00","22.20","20.00","20.93","11504","14319","4","1",
"29","4","5","3","cancer death rates","16.00","17.00","19.93","16.00","10527","13528","4","0","none"
"30","4","6","2","percentage of workers who will have adequate health service","16.00","11.00","20.07","13.93","16948","20483","6","0","none"
"31","4","7","1","traffic accident health rate per 10,000 accidents","16.00","9.07","20.00","8.00","11451","15669","5","0","none"
"32","4","8","0","amount of books published","16.07","21.13","19.87","17.87","15490","19291","5","0",
"33","7","1","3","cancer death rates","17.07","25.67","17.07","25.67","1832","2014","6","0","none"
"34","7","2","2","amounts spent on advertising directly to children","20.53","16.40","20.53","16.40","499","657","6","0","none"
"35","7","3","0","global economy growth rates","17.27","15.73","17.27","15.73","572","742","6","0","none"
"36","7","4","1","students who eat breakfast","17.60","17.73","17.60","17.73","525","681","6","0",
"37","7","5","3","population of males over 80","14.33","19.20","14.33","19.20","945","1126","6","0","none"
"38","7","6","2","percentage of workers who will have adequate health service","13.00","18.47","13.00","18.47","807","965","6","0","none"
"39","7","7","0","global burglary rates","17.60","18.93","17.60","18.93","631","823","6","0","none"
"40","7","8","1","striped dolphin populations","13.67","18.80","13.67","18.80","454","624","6","0",
"41","8","1","0","amount of books published","15.53","22.33","15.53","22.33","1740","1908","7","0","none"
"42","8","2","2","percentage of workers who will have adequate health service","15.73","16.67","15.73","16.67","35523","35694","8","0","none"
"43","8","3","1","yields of sunflower seed (kg/hectare)","15.33","14.13","15.33","14.13","615","783","8","0","none"
"44","8","4","3","cancer death rates","15.40","17.20","15.40","17.20","451","633","8","0",
"45","8","5","0","global burglary rates","14.27","14.80","14.27","14.80","1137","1307","8","0","none"
"46","8","6","2","death rate for the world population","17.13","23.20","17.13","23.20","736","916","8","0","none"
"47","8","7","1","striped dolphin populations","17.40","19.53","17.40","19.53","543","713","8","0","none"
"48","8","8","3","population of males over 80","18.20","21.00","18.20","21.00","429","599","8","0",
"49","9","1","0","amount of books published","13.67","15.07","13.67","15.07","3574","3731","8","0","none"
"50","9","2","1","students who eat breakfast","11.73","24.07","11.73","24.07","1028","1193","8","0","none"
